Epoch: 0, Loss: 17.7820, Batch Time: 1.280, Data Time: 0.035, LR: 0.0000100000
Epoch: 1, Loss: 11.5671, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 2, Loss: 10.4431, Batch Time: 1.281, Data Time: 0.036, LR: 0.0000100000
Epoch: 3, Loss: 9.7726, Batch Time: 1.281, Data Time: 0.036, LR: 0.0000100000
Epoch: 4, Loss: 9.4074, Batch Time: 1.279, Data Time: 0.036, LR: 0.0000100000
Epoch: 5, Loss: 9.1223, Batch Time: 1.280, Data Time: 0.035, LR: 0.0000100000
Epoch: 6, Loss: 8.8446, Batch Time: 1.281, Data Time: 0.036, LR: 0.0000100000
Epoch: 7, Loss: 8.5883, Batch Time: 1.283, Data Time: 0.036, LR: 0.0000100000
Epoch: 8, Loss: 8.4126, Batch Time: 1.283, Data Time: 0.035, LR: 0.0000100000
Epoch: 9, Loss: 8.2120, Batch Time: 1.283, Data Time: 0.035, LR: 0.0000100000
Epoch: 10, Loss: 8.0797, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 11, Loss: 8.0580, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 12, Loss: 7.9924, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 13, Loss: 7.8002, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 14, Loss: 7.8083, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 15, Loss: 7.8176, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 16, Loss: 7.6168, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 17, Loss: 7.6080, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 18, Loss: 7.5581, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 19, Loss: 7.4684, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 20, Loss: 7.4644, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 21, Loss: 7.3151, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 22, Loss: 7.4236, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 23, Loss: 7.4183, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 24, Loss: 7.3529, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 25, Loss: 7.3537, Batch Time: 1.282, Data Time: 0.035, LR: 0.0000100000
Epoch: 26, Loss: 7.2862, Batch Time: 1.280, Data Time: 0.035, LR: 0.0000100000
Epoch: 27, Loss: 7.2609, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 28, Loss: 7.2247, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 29, Loss: 7.3155, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
Epoch: 30, Loss: 7.1666, Batch Time: 1.281, Data Time: 0.035, LR: 0.0000100000
